season,name,position,team,adp,nn
2021,Kadarius Toney,WR,,215.9,kadarius toney
2021,Jamison Crowder,WR,,217.6,jamison crowder
2021,Anthony Firkser,TE,DET,218.4,anthony firkser
2021,Tyrell Williams,WR,,219.3,tyrell williams
2021,Rashaad Penny,RB,,220.4,rashaad penny
2021,Marquez Valdes-Scantling,WR,DAL,221.2,marquez valdes scantling
2021,Marlon Mack,RB,,222.4,marlon mack
2021,Damien Williams,RB,,223.3,damien williams
2021,Boston Scott,RB,,223.9,boston scott
2021,Ty'Son Williams,RB,,226.4,ty son williams
2021,Cordarrelle Patterson,RB,,231.2,cordarrelle patterson
2021,Carson Wentz,QB,MIN,233.0,carson wentz
2021,Tony Jones,RB,,236.1,tony jones
2021,Cam Newton,QB,,237.9,cam newton
2021,Le'Veon Bell,RB,TB,238.2,le veon bell
2021,Tim Tebow,TE,,239.3,tim tebow
2021,Sam Darnold,QB,SEA,239.5,sam darnold
2021,Mark Ingram,RB,,241.9,mark ingram
2021,Xavier Jones,RB,,242.6,xavier jones
2021,Tarik Cohen,RB,,243.5,tarik cohen
2021,Ty Johnson,RB,BUF,244.5,ty johnson
2021,Darrel Williams,RB,,245.0,darrel williams
2021,O.J. Howard,TE,,246.0,o j howard
2021,Carlos Hyde,RB,,247.6,carlos hyde
2021,Amari Rodgers,WR,,247.9,amari rodgers
2021,Darrynton Evans,RB,,249.1,darrynton evans
2021,Joshua Palmer,WR,BUF,249.6,joshua palmer
2021,Hunter Renfrow,WR,,250.7,hunter renfrow
2021,Jerick McKinnon,RB,,251.2,jerick mckinnon
2021,Allen Lazard,WR,,252.1,allen lazard
2021,Donovan Peoples-Jones,WR,,253.1,donovan peoples jones
2021,Nico Collins,WR,HOU,254.5,nico collins
2021,Malcolm Brown,RB,,255.5,malcolm brown
2021,Van Jefferson,WR,WAS,255.9,van jefferson
2021,Salvon Ahmed,RB,CHI,257.4,salvon ahmed
2021,Nick Stevens,QB,,258.0,nick stevens
2021,Ricky Seals-Jones,TE,,259.0,ricky seals jones
2021,Kevin Rader,TE,,265.0,kevin rader
2021,Wilton Speight,QB,,265.0,wilton speight
2021,Brogan Roback,QB,,268.7,brogan roback
2021,Riley Neal,QB,,269.6,riley neal
2021,Jacob Huesman,QB,,270.0,jacob huesman
2021,Trevor Davis,WR,,271.0,trevor davis
2021,David Fales,QB,,271.0,david fales
2021,Nick Schuessler,QB,PIT,271.3,nick schuessler
2021,Glen Coffee,RB,SF,272.0,glen coffee
2021,Tim Semisch,TE,,273.0,tim semisch
2021,Dalton Sturm,QB,,274.0,dalton sturm
2021,Jake Heaps,QB,,275.3,jake heaps
2021,Eli Jenkins,QB,,276.0,eli jenkins
2021,Ryan Finley,QB,,277.4,ryan finley
